# GT5 paint colour database (id, category, maker, name)
# Source: t_colour table from the GT5 Garage Editor 1.3.1 colour database
# (community dump, gt5GarageEditor project). Categories: 0=Solid 1=Metallic 2=Pearl 3=Iridescent 4=Matte 5=Chrome
# Regenerated from the game's PAINT_COLOR_INFO table (specdb GT5_JP3010, game v2.11) - all 3408 rows included.
# Category 99 = rows present in the game paint table that are not obtainable paint chips (hidden / two-tone / placeholder entries).
# Rows with no label in the game data use their internal ID label (maker+id, e.g. "polyphony3138") as the name.
3343	1	mini	Absolute Black
3377	99	mini	Absolute Black/White stripes
1773	0	audi	Absolute Red
2277	0	pontiac	Abyss
2237	0	nissan	Active Red
2521	0	nismo	Active Red
2977	0	subaru	Active Red
2489	99	acura	acura2489
2490	99	acura	acura2490
1631	1	chevrolet	Admiral Blue Metallic
636	0	chevrolet	Adobe Beige
320	0	isuzu	Adonis Yellow
893	1	jaguar	Adriatic Metallic
1794	0	toyota	Adventure Toning
638	1	peugeot	Aegean Blue
1880	2	acura	Aegean Blue Pearl
3031	99	aem	aem3031
534	0	mercedes	African Violet
193	1	nissan	Air Blue Pearl Metallic
1242	1	audi	Akoya Silver Metallic
2755	0	chrysler	Alabaster
1048	1	honda	Alabaster Silver Metallic
96	0	mercedes	Alabasterweiß
319	0	pontiac	Alamo Beige
1428	0	nissan	Alaskan White
1893	1	mitsubishi	Alepen Silver
3038	0	alfaromeo	Alfa Red
2157	99	alfaromeo	alfaromeo2157
2906	99	alfaromeo	alfaromeo2906
718	1	mercedes	Almandinrot
963	1	audi	Almond Beige Metallic
1220	0	mini	Almond Green
2042	1	astonmartin	Almond Green
1703	1	tvr	Alpine Green Metallic
1289	1	jaguar	Alpine Metallic
624	0	plymouth	Alpine White
655	0	cizeta	Alpine White
1287	0	hyundai	Alpine White
1877	0	audi	Alpine White
2313	0	bmw	Alpinweiß
2697	0	volkswagen	Alpinweiß
1309	1	audi	Aluminium Silver Metallic
2966	0	mg_mini	Amaranth
2068	1	jaguar	Amaranth Metallic
1755	2	mini	Amaranth Pearl
1654	0	mitsubishi	Amazon Green
258	1	plymouth	Amber Sherwood Metallic
2837	99	amemiya	amemiya2837
3001	99	amemiya	amemiya3001
1795	2	mitsubishi	Amethyst Black Pearl
3357	1	astonmartin	Amethyst Red
685	1	toyota	Amethyst Silver Metallic
2101	1	mercedes	AMG alubeam silber
975	1	mercedes	AMG Daytona blau
976	2	mercedes	AMG Imola grau
973	1	mercedes	AMG Le Mans rot
1553	4	mercedes	AMG Monza grau magno
2305	0	audi	Amulet Red
2921	99	amuse	amuse2921
2772	0	opel	Ananasgelb
93	1	mercedes	Andraditgrün
10	0	suzuki	Antares Red
2963	0	mg_mini	Anthracite
291	1	mini	Anthracite Metallic
544	1	acura	Anthracite Metallic
1834	1	jaguar	Anthracite Metallic
2069	1	jaguar	Anthracite Metallic
1976	1	mercedes	Anthrazit Grau
885	1	jaguar	Antigua Metallic
1833	1	jaguar	Antigua Metallic
167	0	mitsubishi	Appalachian Black
3385	1	astonmartin	Appletree Green
259	1	plymouth	April Green Metallic
3061	0	lexus	Aqua
981	1	chevrolet	Aqua Blue Metallic
1070	1	toyota	Aqua Blue Metallic
2141	99	chevrolet	Aqua Blue Metallic White Hood and Hockey Stripe
1041	99	chevrolet	Aqua Blue Metallic White Stripe
122	1	nissan	Aqua Blue Titan Pearl Metallic
2620	0	nissan	Aqua Gray
420	1	nissan	Aqua Green Metallic
640	1	chrysler	Aqua Marine Metallic
281	1	lotus	Aqua Metallic
2615	1	mercedes	Aquamarin
2339	1	pontiac	Aquamarine
1496	1	lotus	Aquamarine Blue
3355	1	nissan	Aqua　Blue (PM3)
2301	0	fiat	Arancio
3168	0	lamborghini	ARANCIO
3312	2	lamborghini	Arancio Argos
1024	0	lamborghini	Arancio Atlas
224	1	fiat	Arancio Calipso Metallizzato
566	2	acura	Arctic Blue Pearl
1214	2	honda	Arctic Blue Pearl
2052	2	lotus	Arctic Silver
14	1	lotus	Arctic Silver Metallic
939	1	subaru	Arctic Silver Metallic
1293	1	mazda	Arctic Silver Metallic
297	0	chevrolet	Arctic White
330	0	audi	Arctic White
701	0	marcos	Arctic White
1018	0	tesla_motors	Arctic White
1686	0	nissan	Arctic White
2021	0	mazda	Arctic White
711	2	nissan	Arctic White Pearl
907	2	subaru	Arctic White Pearl
388	2	vauxhall	Arden Blue Pearl
2769	2	opel	Ardenblau
2201	0	lotus	Ardent Red
1730	0	autobianchi	Ardenza Amaranth
2838	1	ferrari	Argento
3396	1	scion	Argento
31	1	alfaromeo	Argento Alfa
1524	1	lamborghini	ARGENTO LUNA
1010	0	ferrari	Argento Nurburgring
1618	1	ferrari	Argento Nurburgring
493	1	bmw	Arktis metallic
1281	1	bmw	Arktissilber Metallic
247	2	audi	Arrow Gray Pearl Effect
2804	99	artmorrison	artmorrison2804
2246	1	nissan	Aruba Blue
2452	0	vauxhall	Aruba Blue
2307	0	opel	Arubablau
2566	0	honda	Ascari Red
1664	2	honda	Ascari Red Pearl
1434	1	tvr	Ash Green Metallic
2413	99	asl	asl2413
2994	99	asl	asl2994
2221	0	mitsubishi	Aso Red
860	0	lotus	Aspen White
3393	1	scion	Asphalt
1410	1	mazda	Astoria Green Metallic
1235	1	isuzu	Astra Silver
22	1	mini	Astro Black Metallic
1696	1	chevrolet	Astro Blue Metallic
1096	1	infiniti	Athens Blue
887	1	nissan	Athletesilver Metallic
1891	0	mitsubishi	Atlantic Blue
1516	2	subaru	Atlantic Blue Pearl
1973	2	dodge	Atlantic Blue Pearl Coat
767	1	chevrolet	Atomic Orange Metallic Tintcoat
2498	99	au_ford	au_ford2498
1614	1	lotus	Aubergine Purple Metallic
2397	99	audi	audi2397
2611	99	audi	audi2611
2709	99	audi	audi2709
2753	99	audi	audi2753
2791	99	audi	audi2791
2978	99	audi	audi2978
3028	99	audi	audi3028
3043	99	audi	audi3043
3163	99	audi	audi3163
3326	2	nissan	Aurora Flare Blue Pearl (2P)
1399	3	alfaromeo	Aurora Nuvola Iridescente
1739	1	plymouth	Autumn Bronze Metallic
161	1	chevrolet	Autumn Gold Metallic
1375	1	chevrolet	Autumn Gold Metallic
2890	1	ferrari	Avio Met
2438	0	alfaromeo	Avorio
2889	0	ferrari	Avorio
1963	0	fiat	Avorio Antico
326	0	fiat	Avorio Delhi
1212	2	audi	Avus Silver Pearl Effect
495	2	honda	Aztec Green Pearl
1885	0	caterham	Aztec Orange
740	0	seat	Azul aniversario
737	0	seat	Azul antracita
1184	1	alfaromeo	Azul Fantasia Metallizzato
1433	0	seat	Azul lluvia
2774	0	seat	Azul polar
2773	0	seat	Azul swing
2645	1	chevrolet	Azure Aqua Metallic
1079	99	bmw	Azure Blue
2570	1	caterham	Azure Blue
780	1	lotus	Azure Blue Metallic
1154	1	lotus	Azure Blue Metallic
481	2	audi	Azure Blue Pearl
1733	1	suzuki	Azure Gray Pearl Metallic
605	1	chevrolet	Azure Turquoise Metallic
2616	1	mercedes	Azuritblau
1490	1	ferrari	Azzuro California
2839	1	ferrari	Azzurro
204	0	alfaromeo	Azzurro Achille
1797	0	fiat	Azzurro Acqua Marina
1682	1	alfaromeo	Azzurro Gabbiano Metallizzato
749	1	alfaromeo	Azzurro Le Castellet Metallizzato
2056	1	ferrari	Azzurro Met
327	0	fiat	Azzurro Nautico
139	3	alfaromeo	Azzurro Nuvola Iridescente
3351	0	volkswagen	Bahama Blue
260	0	plymouth	Bahama Yellow
1908	0	lotus	Bahama Yellow
1944	0	dodge	Bahama Yellow
1969	0	marcos	Bahama Yellow
540	0	honda	Baltic Blue
1389	1	vauxhall	Bamboo Green
2664	1	dodge	Banana
509	1	pontiac	Barbados Blue Metallic
3094	1	holden	Barbados Metallic
1113	2	suzuki	Barcelona Orange Pearl
494	1	bmw	Barriquerot metallic
1574	99	bmw	Base Silver
1283	2	volkswagen	Batikblau Perleffekt
438	0	honda	Bay Leaf Green
1661	1	nissan	Bay Side Blue (M)
2045	1	mines	Bay Side Blue (M)
1716	2	nissan	Beam Gray Pearl
2236	0	nissan	Beans
2669	0	dodge	Beige
2729	0	ac	Beige
2936	0	volvo	Beige
597	1	renault	Beige Angora
1539	99	bugatti	Beige Gold M / Black Blue M
66	1	honda	Beige Metallic
76	1	toyota	Beige Metallic
1406	1	scion	Beige Metallic
1511	1	volvo	Beige Metallic
644	1	lexus	Beige Mica Metallic
1695	1	toyota	Beige Mica Metallic
1780	1	toyota	Beige Mica Metallic
369	0	fiat	Beige Sabbia
1251	1	peugeot	Beige Solstice
2912	99	bentley	bentley2912
1643	2	suzuki	Berlin Black Pearl
60	0	honda	Berlina Black
471	0	acura	Berlina Black
1710	0	amuse	Berlina Black
1491	2	honda	Bermuda Blue Pearl
1657	0	mercedes	Bernsteinrot
1431	1	nissan	Berona Gray
1546	2	audi	Berry Pearl Effect
2751	1	mercedes	Beryll
2344	0	fiat	Bianco
2367	0	fiat	Bianco
1008	0	ferrari	Bianco Avus
1616	0	ferrari	Bianco Avus
1953	0	alfaromeo	Bianco Banchisa
3315	4	lamborghini	Bianco Canopus
2105	0	maserati	Bianco Eldorado
382	0	alfaromeo	Bianco Farina
568	0	alfaromeo	Bianco Gardenia
2115	0	lamborghini	Bianco Isis
922	0	lamborghini	BIANCO LABRADOR
1554	0	lamborghini	Bianco Monocerus
1152	0	alfaromeo	Bianco Nuvola
140	0	alfaromeo	Bianco Polare
1458	0	alfaromeo	Bianco Polare
1482	0	ferrari	Bianco polo
206	0	alfaromeo	Bianco Spino
2151	99	ford	Black
2238	0	toyota	Black
2260	0	lotus	Black
2287	0	trd	Black
2294	0	autobianchi	Black
2303	0	toyota	Black
2306	0	chevrolet	Black
2320	0	mini	Black
2326	0	nissan	Black
2330	0	dodge	Black
2347	0	nismo	Black
2348	99	toyota	Black
2366	0	lotus	Black
2420	99	lotus	Black
2444	0	vauxhall	Black
2446	0	spyker	Black
2508	0	jensen	Black
2563	0	buick	Black
2574	0	chrysler	Black
2676	0	eagle	Black
2679	0	lexus	Black
2706	0	scion	Black
2727	0	ac	Black
2761	0	asl	Black
2795	0	chevrolet	Black
2798	0	ford	Black
2799	0	lotus	Black
2911	0	jaguar	Black
2939	0	volvo	Black
3033	0	lexus	Black
3039	0	alfaromeo	Black
3075	0	chevrolet	Black
3348	0	volkswagen	Black
1030	0	lexus	Black Amethyst
1158	1	chevrolet	Black Cherry Metallic
876	0	ford	Black Clearcoat
1175	0	ford	Black Clearcoat
1586	99	chevrolet	Black Cyber Gray Hood and Hockey Stripe
1037	99	chevrolet	Black Cyber Gray Stripe
78	0	lotus	Black Gloss
2357	2	fiat	Black Ink
958	99	bugatti	Black M / Black M
829	2	volkswagen	Black Magic Perleffekt
1181	2	volkswagen	Black Magic Perleffekt
192	1	daihatsu	Black Metallic
527	1	toyota	Black Metallic
990	1	daihatsu	Black Metallic
1262	1	saleen	Black Metallic
1681	1	toyota	Black Metallic
1887	1	nissan	Black Metallic
1500	2	toyota	Black Mica
2195	2	mitsubishi	Black Mica
2217	2	toyota	Black Mica
2233	2	mitsubishi	Black Mica
2261	2	daihatsu	Black Mica
2525	2	mazda	Black Mica
2639	2	daihatsu	Black Mica
2711	2	scion	Black Mica
2975	2	subaru	Black Mica
1866	2	toyota	Black Mica Color Clear
30	0	infiniti	Black Obsidian
487	0	infiniti	Black Obsidian
101	2	nissan	Black Pearl
844	2	mines	Black Pearl
1264	2	mitsubishi	Black Pearl
4	2	nissan	Black Pearl (M)
1133	1	nissan	Black Pearl (M)
1757	1	nismo	Black Pearl Metallic
507	2	toyota	Black Sand Pearl
1359	0	vauxhall	Black Sapphire
1312	1	bmw	Black Sapphire Metallic
2074	1	volvo	Black Sapphire Metallic
1544	2	subaru	Black Topaz Mica
1374	0	plymouth	Black Velvet
23	1	mini	Black-Eye Purple Metallic
158	1	toyota	Blackish Khaki Metallic
339	2	toyota	Blackish Red Mica
1940	2	lexus	Blackish Red Mica
2243	1	nissan	Blade
34	1	nissan	Blade Silver (M)
138	1	honda	Blade Silver Metallic
1525	1	chevrolet	Blade Silver Metallic
2764	0	hommell	Blanc
211	0	peugeot	Blanc Banquise
304	0	citroen	Blanc Banquise
598	0	renault	Blanc Glacier
736	0	seat	Blanco candy
717	0	mercedes	Blau Schwarz
2854	0	mercedes	Blaugrau
1424	0	mercedes	Blauschwarz
2860	0	mazda	Blaze Red
